epoch,acc
0,0.574
1,0.666
2,0.684
3,0.7
4,0.686
5,0.69
6,0.692
7,0.702
8,0.704
9,0.706
10,0.724
11,0.706
12,0.754
13,0.728
14,0.724
15,0.754
16,0.732
17,0.72
18,0.762
19,0.74
20,0.74
21,0.748
22,0.74
23,0.726
24,0.754
25,0.766
26,0.76
27,0.776
28,0.74
29,0.738
30,0.782
31,0.75
32,0.76
33,0.74
34,0.77
35,0.766
36,0.758
37,0.752
38,0.77
39,0.778
40,0.776
41,0.784
42,0.776
43,0.764
44,0.768
45,0.778
46,0.772
47,0.762
48,0.752
49,0.776
50,0.784
51,0.764
52,0.762
53,0.762
54,0.788
55,0.782
56,0.786
57,0.754
58,0.796
59,0.786
60,0.774
61,0.774
62,0.722
63,0.796
64,0.748
65,0.78
66,0.768
67,0.778
68,0.774
69,0.79
70,0.774
71,0.786
72,0.762
73,0.764
74,0.764
75,0.782
76,0.776
77,0.774
78,0.78
79,0.776
80,0.756
81,0.764
82,0.778
83,0.76
84,0.788
85,0.786
86,0.772
87,0.75
88,0.762
89,0.758
90,0.76
91,0.762
92,0.772
93,0.778
94,0.762
95,0.76
96,0.76
97,0.768
98,0.758
99,0.782
100,0.768
101,0.764
102,0.772
103,0.756
104,0.76
105,0.798
106,0.786
107,0.79
108,0.778
109,0.784
110,0.752
111,0.764
112,0.758
113,0.768
114,0.768
115,0.786
116,0.758
117,0.786
118,0.78
119,0.742
120,0.78
121,0.75
122,0.764
123,0.766
124,0.776
125,0.778
126,0.782
127,0.788
128,0.754
129,0.77
130,0.756
131,0.78
132,0.78
133,0.8
134,0.766
135,0.806
136,0.796
137,0.776
138,0.784
139,0.79
140,0.784
141,0.78
142,0.79
143,0.778
144,0.75
145,0.776
146,0.772
147,0.784
148,0.788
149,0.77
