epoch,acc
0,0.692
1,0.686
2,0.686
3,0.68
4,0.7
5,0.684
6,0.686
7,0.704
8,0.698
9,0.708
10,0.684
11,0.692
12,0.714
13,0.692
14,0.734
15,0.71
16,0.708
17,0.71
18,0.69
19,0.734
20,0.69
21,0.712
22,0.714
23,0.694
24,0.724
25,0.698
26,0.716
27,0.726
28,0.718
29,0.716
30,0.704
31,0.742
32,0.728
33,0.726
34,0.736
35,0.732
36,0.748
37,0.716
38,0.722
39,0.732
40,0.73
41,0.75
42,0.746
43,0.738
44,0.76
45,0.748
46,0.752
47,0.758
48,0.752
49,0.752
50,0.762
51,0.742
52,0.736
53,0.758
54,0.768
55,0.756
56,0.746
57,0.768
58,0.734
59,0.77
60,0.768
61,0.78
62,0.776
63,0.77
64,0.754
65,0.774
66,0.746
67,0.772
68,0.77
69,0.766
70,0.768
71,0.776
72,0.782
73,0.768
74,0.77
75,0.778
76,0.752
77,0.776
78,0.782
79,0.77
80,0.768
81,0.762
82,0.772
83,0.77
84,0.776
85,0.786
86,0.792
87,0.782
88,0.778
89,0.78
90,0.79
91,0.788
92,0.774
93,0.78
94,0.778
95,0.794
96,0.792
97,0.794
98,0.77
99,0.768
100,0.772
101,0.778
102,0.762
103,0.778
104,0.788
105,0.784
106,0.778
107,0.78
108,0.774
109,0.764
110,0.778
111,0.768
112,0.78
113,0.75
114,0.768
115,0.776
116,0.776
117,0.766
118,0.786
119,0.776
120,0.778
121,0.77
122,0.786
123,0.776
124,0.796
125,0.774
126,0.786
127,0.776
128,0.78
129,0.776
130,0.784
131,0.768
132,0.754
133,0.78
134,0.788
135,0.778
136,0.78
137,0.78
138,0.784
139,0.798
140,0.776
141,0.77
142,0.77
143,0.778
144,0.774
145,0.782
146,0.778
147,0.776
148,0.788
149,0.78
