epoch,acc
0,0.7
1,0.708
2,0.728
3,0.726
4,0.726
5,0.718
6,0.734
7,0.74
8,0.73
9,0.726
10,0.732
11,0.754
12,0.724
13,0.734
14,0.756
15,0.74
16,0.754
17,0.746
18,0.742
19,0.76
20,0.752
21,0.718
22,0.746
23,0.748
24,0.764
25,0.742
26,0.76
27,0.742
28,0.764
29,0.76
30,0.758
31,0.768
32,0.764
33,0.768
34,0.766
35,0.77
36,0.756
37,0.75
38,0.792
39,0.768
40,0.776
41,0.792
42,0.76
43,0.74
44,0.764
45,0.756
46,0.784
47,0.758
48,0.774
49,0.752
50,0.746
51,0.764
52,0.766
53,0.746
54,0.768
55,0.764
56,0.758
57,0.766
58,0.756
59,0.738
60,0.756
61,0.756
62,0.776
63,0.766
64,0.768
65,0.776
66,0.798
67,0.772
68,0.76
69,0.794
70,0.778
71,0.778
72,0.774
73,0.782
74,0.78
75,0.758
76,0.794
77,0.79
78,0.792
79,0.764
80,0.804
81,0.798
82,0.804
83,0.802
84,0.792
85,0.766
86,0.796
87,0.772
88,0.792
89,0.776
90,0.8
91,0.776
92,0.766
93,0.77
94,0.744
95,0.782
96,0.768
97,0.774
98,0.788
99,0.8
100,0.798
101,0.782
102,0.756
103,0.778
104,0.778
105,0.772
106,0.772
107,0.784
108,0.796
109,0.784
110,0.762
111,0.768
112,0.768
113,0.784
114,0.794
115,0.774
116,0.754
117,0.77
118,0.78
119,0.788
120,0.782
121,0.8
122,0.786
123,0.782
124,0.79
125,0.788
126,0.784
127,0.78
128,0.788
129,0.784
130,0.786
131,0.778
132,0.778
133,0.772
134,0.79
135,0.772
136,0.774
137,0.764
138,0.764
139,0.768
140,0.77
141,0.758
142,0.764
143,0.79
144,0.754
145,0.77
146,0.762
147,0.788
148,0.782
149,0.776
