epoch,acc
0,0.618
1,0.672
2,0.664
3,0.684
4,0.692
5,0.7
6,0.704
7,0.696
8,0.736
9,0.714
10,0.694
11,0.72
12,0.726
13,0.72
14,0.698
15,0.732
16,0.738
17,0.7
18,0.732
19,0.732
20,0.726
21,0.724
22,0.736
23,0.738
24,0.732
25,0.738
26,0.722
27,0.746
28,0.764
29,0.742
30,0.724
31,0.762
32,0.762
33,0.738
34,0.754
35,0.762
36,0.752
37,0.768
38,0.746
39,0.756
40,0.768
41,0.754
42,0.748
43,0.768
44,0.754
45,0.772
46,0.752
47,0.758
48,0.76
49,0.75
50,0.778
51,0.74
52,0.754
53,0.742
54,0.734
55,0.75
56,0.76
57,0.74
58,0.768
59,0.764
60,0.754
61,0.758
62,0.77
63,0.754
64,0.776
65,0.76
66,0.768
67,0.77
68,0.762
69,0.748
70,0.762
71,0.744
72,0.756
73,0.766
74,0.778
75,0.776
76,0.764
77,0.768
78,0.778
79,0.77
80,0.762
81,0.75
82,0.762
83,0.77
84,0.78
85,0.784
86,0.78
87,0.762
88,0.766
89,0.786
90,0.778
91,0.774
92,0.794
93,0.796
94,0.782
95,0.77
96,0.768
97,0.762
98,0.756
99,0.778
100,0.782
101,0.754
102,0.784
103,0.756
104,0.776
105,0.778
106,0.808
107,0.784
108,0.784
109,0.794
110,0.786
111,0.78
112,0.778
113,0.766
114,0.77
115,0.778
116,0.764
117,0.768
118,0.776
119,0.776
120,0.798
121,0.802
122,0.784
123,0.77
124,0.736
125,0.778
126,0.79
127,0.78
128,0.794
129,0.766
130,0.766
131,0.77
132,0.794
133,0.766
134,0.772
135,0.766
136,0.786
137,0.794
138,0.78
139,0.776
140,0.76
141,0.772
142,0.786
143,0.768
144,0.77
145,0.77
146,0.776
147,0.782
148,0.782
149,0.774
