epoch,acc
0,0.62
1,0.688
2,0.716
3,0.632
4,0.698
5,0.702
6,0.714
7,0.708
8,0.696
9,0.706
10,0.698
11,0.734
12,0.726
13,0.698
14,0.716
15,0.708
16,0.724
17,0.726
18,0.722
19,0.718
20,0.736
21,0.728
22,0.72
23,0.728
24,0.716
25,0.732
26,0.734
27,0.724
28,0.75
29,0.738
30,0.734
31,0.722
32,0.732
33,0.744
34,0.752
35,0.728
36,0.74
37,0.722
38,0.724
39,0.742
40,0.744
41,0.782
42,0.77
43,0.75
44,0.752
45,0.742
46,0.744
47,0.758
48,0.768
49,0.75
50,0.75
51,0.744
52,0.744
53,0.76
54,0.754
55,0.744
56,0.75
57,0.756
58,0.752
59,0.758
60,0.77
61,0.768
62,0.764
63,0.756
64,0.772
65,0.758
66,0.766
67,0.75
68,0.76
69,0.78
70,0.772
71,0.74
72,0.764
73,0.774
74,0.768
75,0.762
76,0.752
77,0.774
78,0.768
79,0.78
80,0.762
81,0.764
82,0.766
83,0.744
84,0.766
85,0.762
86,0.762
87,0.744
88,0.742
89,0.752
90,0.752
91,0.754
92,0.77
93,0.768
94,0.764
95,0.744
96,0.75
97,0.758
98,0.754
99,0.752
100,0.772
101,0.77
102,0.746
103,0.734
104,0.758
105,0.736
106,0.738
107,0.738
108,0.772
109,0.738
110,0.762
111,0.752
112,0.754
113,0.768
114,0.768
115,0.754
116,0.748
117,0.754
118,0.764
119,0.756
120,0.764
121,0.76
122,0.742
123,0.748
124,0.764
125,0.77
126,0.764
127,0.758
128,0.744
129,0.744
130,0.74
131,0.75
132,0.75
133,0.748
134,0.756
135,0.758
136,0.742
137,0.77
138,0.76
139,0.77
140,0.766
141,0.746
142,0.772
143,0.75
144,0.764
145,0.764
146,0.756
147,0.748
148,0.734
149,0.758
