epoch,acc
0,0.694
1,0.688
2,0.722
3,0.744
4,0.734
5,0.74
6,0.73
7,0.754
8,0.73
9,0.766
10,0.75
11,0.756
12,0.76
13,0.75
14,0.764
15,0.766
16,0.766
17,0.77
18,0.792
19,0.784
20,0.778
21,0.782
22,0.78
23,0.766
24,0.77
25,0.778
26,0.78
27,0.778
28,0.772
29,0.784
30,0.768
31,0.782
32,0.788
33,0.75
34,0.77
35,0.77
36,0.768
37,0.778
38,0.766
39,0.77
40,0.778
41,0.778
42,0.778
43,0.78
44,0.774
45,0.754
46,0.788
47,0.764
48,0.798
49,0.772
50,0.764
51,0.778
52,0.768
53,0.788
54,0.764
55,0.77
56,0.764
57,0.77
58,0.776
59,0.756
60,0.764
61,0.764
62,0.746
63,0.756
64,0.75
65,0.786
66,0.77
67,0.758
68,0.766
69,0.762
70,0.75
71,0.756
72,0.766
73,0.746
74,0.754
75,0.756
76,0.758
77,0.758
78,0.74
79,0.78
80,0.78
81,0.786
82,0.76
83,0.77
84,0.764
85,0.752
86,0.744
87,0.776
88,0.736
89,0.776
90,0.766
91,0.76
92,0.758
93,0.752
94,0.764
95,0.772
96,0.774
97,0.734
98,0.758
99,0.758
100,0.758
101,0.764
102,0.76
103,0.746
104,0.756
105,0.756
106,0.76
107,0.75
108,0.754
109,0.772
110,0.772
111,0.75
112,0.756
113,0.776
114,0.754
115,0.76
116,0.776
117,0.752
118,0.758
119,0.748
120,0.75
121,0.758
122,0.744
123,0.752
124,0.746
125,0.736
126,0.786
127,0.784
128,0.758
129,0.752
130,0.762
131,0.764
132,0.776
133,0.776
134,0.762
135,0.764
136,0.762
137,0.756
138,0.774
139,0.76
140,0.776
141,0.764
142,0.772
143,0.76
144,0.764
145,0.756
146,0.78
147,0.754
148,0.778
149,0.758
