epoch,acc
0,0.656
1,0.684
2,0.718
3,0.71
4,0.706
5,0.706
6,0.728
7,0.716
8,0.714
9,0.716
10,0.71
11,0.722
12,0.734
13,0.758
14,0.742
15,0.722
16,0.744
17,0.76
18,0.748
19,0.76
20,0.744
21,0.722
22,0.758
23,0.764
24,0.768
25,0.766
26,0.756
27,0.756
28,0.744
29,0.754
30,0.764
31,0.766
32,0.768
33,0.766
34,0.754
35,0.776
36,0.76
37,0.766
38,0.758
39,0.776
40,0.76
41,0.758
42,0.776
43,0.746
44,0.776
45,0.77
46,0.782
47,0.772
48,0.768
49,0.776
50,0.766
51,0.774
52,0.764
53,0.738
54,0.76
55,0.772
56,0.752
57,0.774
58,0.78
59,0.768
60,0.77
61,0.756
62,0.752
63,0.772
64,0.756
65,0.758
66,0.77
67,0.774
68,0.768
69,0.762
70,0.744
71,0.774
72,0.78
73,0.754
74,0.772
75,0.774
76,0.754
77,0.738
78,0.756
79,0.76
80,0.758
81,0.754
82,0.77
83,0.754
84,0.752
85,0.78
86,0.774
87,0.784
88,0.758
89,0.776
90,0.776
91,0.776
92,0.746
93,0.756
94,0.752
95,0.76
96,0.77
97,0.79
98,0.782
99,0.758
100,0.778
101,0.772
102,0.766
103,0.772
104,0.768
105,0.77
106,0.78
107,0.786
108,0.774
109,0.768
110,0.774
111,0.762
112,0.762
113,0.77
114,0.768
115,0.768
116,0.762
117,0.768
118,0.772
119,0.754
120,0.768
121,0.76
122,0.762
123,0.744
124,0.774
125,0.768
126,0.782
127,0.768
128,0.776
129,0.76
130,0.766
131,0.75
132,0.762
133,0.782
134,0.762
135,0.764
136,0.768
137,0.76
138,0.76
139,0.764
140,0.75
141,0.766
142,0.774
143,0.774
144,0.782
145,0.778
146,0.768
147,0.762
148,0.762
149,0.784
