epoch,acc
0,0.666
1,0.718
2,0.704
3,0.724
4,0.74
5,0.744
6,0.736
7,0.742
8,0.728
9,0.712
10,0.728
11,0.724
12,0.738
13,0.72
14,0.728
15,0.736
16,0.73
17,0.738
18,0.732
19,0.736
20,0.736
21,0.736
22,0.722
23,0.734
24,0.742
25,0.752
26,0.738
27,0.756
28,0.74
29,0.758
30,0.748
31,0.75
32,0.746
33,0.752
34,0.746
35,0.754
36,0.75
37,0.758
38,0.762
39,0.728
40,0.758
41,0.768
42,0.752
43,0.778
44,0.762
45,0.75
46,0.766
47,0.758
48,0.744
49,0.764
50,0.756
51,0.76
52,0.744
53,0.742
54,0.742
55,0.758
56,0.75
57,0.75
58,0.766
59,0.78
60,0.756
61,0.754
62,0.736
63,0.766
64,0.76
65,0.788
66,0.76
67,0.758
68,0.772
69,0.784
70,0.768
71,0.77
72,0.736
73,0.76
74,0.78
75,0.768
76,0.766
77,0.772
78,0.774
79,0.76
80,0.75
81,0.78
82,0.754
83,0.772
84,0.766
85,0.762
86,0.758
87,0.776
88,0.758
89,0.75
90,0.774
91,0.768
92,0.764
93,0.764
94,0.756
95,0.752
96,0.756
97,0.754
98,0.77
99,0.748
100,0.754
101,0.73
102,0.752
103,0.752
104,0.772
105,0.74
106,0.74
107,0.774
108,0.754
109,0.77
110,0.756
111,0.764
112,0.752
113,0.764
114,0.716
115,0.754
116,0.75
117,0.764
118,0.76
119,0.77
120,0.756
121,0.754
122,0.77
123,0.764
124,0.758
125,0.758
126,0.762
127,0.766
128,0.766
129,0.772
130,0.756
131,0.774
132,0.756
133,0.746
134,0.772
135,0.746
136,0.76
137,0.75
138,0.77
139,0.764
140,0.762
141,0.744
142,0.774
143,0.75
144,0.762
145,0.76
146,0.762
147,0.76
148,0.768
149,0.774
